
PayingCustomer,,,
PayingCustomer,Invalid,,
PayingCustomer,,invalid@.com,
PayingCustomer,,@invalid.com,
PayingCustomer,,@.,

CreditCard,Valid,1111 1111 1111 1111,10,2026,111
CreditCard,Valid,2222-2222-2222-2222,10,2026,222
CreditCard,Valid,3333333333333333,10,2026,333
CreditCard,Valid,4444-4444-4444-4444,9,2026,444

PayingCustomer,Valid,valid1@valid.com,1111-1111-1111-1111
PayingCustomer,Valid,valid2@valid.com,2222222222222222
PayingCustomer,Valid,valid3@valid.com,1111-1111-1111-1111
PayingCustomer,Valid,valid4@valid.com,4444-4444-4444-4444

AssociateCustomer,Valid,valid5@valid.com,valid2@valid.com
AssociateCustomer,Valid,valid6@valid.com,valid3@valid.com
AssociateCustomer,Valid,valid7@valid.com,valid4@valid.com

Magazine,M1,1.0
Supplement,S1,0.0,M1

Magazine,M2,0.0
Supplement,S2,1.0,M2

AddMagazine,M1,valid1@valid.com
AddSupplement,S1,M1,valid1@valid.com

AddSupplement,S2,M2,valid2@valid.com

AddMagazine,M1,valid4@valid.com
AddSupplement,S1,M1,valid4@valid.com
AddMagazine,M2,valid4@valid.com
AddSupplement,S2,M2,valid4@valid.com

AddSupplement,S1,M1,valid5@valid.com
AddSupplement,S1,M1,valid6@valid.com
AddSupplement,S1,M1,valid7@valid.com

MonthlyBilling,8,2026
MonthlyBilling,9,2026
MonthlyBilling,10,2026
